text,id,break_after,required,type,options
EXPERIMENTER: Please enter the subject number:,0,TRUE,TRUE,text-field-small,"[""Yes"", ""No""]"
EXPERIMENTER: What is the subject's group number?,0,TRUE,TRUE,single-select,"[""Group 1: Linear Slider, No Feedback"", ""Group 2: Linear Slider, Feedback"",""Group 3: Parabolic Slider, No Feedback"",""Group 4: Parabolic Slider, Feedback""]"
Do you understand and agree with the instructions?,0,TRUE,TRUE,single-select,"[""I understand and agree with the instructions above.""]"
Example: Was Donald J. Trump is over 40 years old when he became the U.S. president?,0,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Example: Is it true that Bill Gates was one of the founders of Apple?,0,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Example: If a randomly chosen U.S. adult male is more than 5 feet 10 inches tall, is that adult a male?",0,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is our moon larger than Jupiter's moon Europa?,1,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Does Canada have a greater land area than the U.S.?,2,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"According the the 2010 U.S. Census, were there more men than women living in the United States?",3,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"According the the 2010 U.S. Census, were there more people under the age of 18 than 25-44?",4,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the tallest building in the world located in Dubai?,5,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Lake Victoria in Kenya the largest lake in the world?,6,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is the Nile River the longest river in the world?,7,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was the United States the first country to successfully land a man on the moon?,8,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Is Puerto Rico its own independent nation?,9,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was the Soviet Union one of the Axis powers during World War II?,10,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was Massachusetts the first state formed in the United States?,11,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Did the United States have 50 states at the end of World War II?,12,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"According to the American Kennel Club, are Labrador Retreivers the most popular dog breed in the United States in 2016?",13,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was the company Ebay.com founded before Amazon.com?,14,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Was President Barack Obama the first African American President in U.S. history?,15,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
