text,id,break_after,required,type,options
EXPERIMENTER: Please enter the subject number:,0,TRUE,TRUE,text-field-small,"[""Yes"", ""No""]"
EXPERIMENTER: What is the subject's group number?,0,TRUE,TRUE,single-select,"[""Group 1: SL, NB"", ""Group 2: SL, B"",""Group 3: PS, NB"",""Group 4: PS, B""]"
Do you understand and agree with the instructions?,0,TRUE,TRUE,single-select,"[""I understand and agree with the instructions above.""]"
Will the University of Illinois Men's Basketball team make it into the Sweet 16  the NCAA tournament in 2017?,1,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the University of Kansas Men's Basketball team make it into the NCAA tournament in 2017?,2,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the University of Kansas Men's Basketball team make it into the Elite Eight (fourth round) of the NCAA tournament in 2017?,3,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will more than one Men's Basketball team from the state of Illinois make it into the NCAA tournament in 2017?,4,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the University of Illinois Women's Basketball team make it into the NCAA tournament in 2017?,5,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will the temperature in Champaign, Illinois be greater than 60 degrees on April 1, 2017?",6,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will the temperature in Champaign, Illinois be greater than 80 degrees on April 1, 2017?",7,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will the rainfall for the month of March in Urbana, Illinois be greater than average (compared to past Marches)?",8,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Nasa launch a new satillite into orbit in the next 25 days?,9,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will Champaign, Illinois experience snow on April 5, 2017?",10,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will golfer Danny Willett (2016 Master's champion) win the 2017 Master's Golf Tournament?,11,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Tiger Woods participate in the 2017 Master's Golf Tournament?,12,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the winner of the 2017 Master's Golf Tournament be from the United States of America?,13,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a hole in one be struck during the 2017 Master's Golf Tournament?,14,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will any player participating in the 2017 Master's Golf Tournament break the tournament record score of 270?,15,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a hurricane make landfall in the Gulf of Mexico in the next 25 days?,16,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a tornado touch down in Kansas in the next 25 days?,17,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a tornado touch down in Illinois in the next 25 days?,18,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Champaign - Urbana experience a hail storm in the next 25 days?,19,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Apple come out with a new iPhone in the next 25 days?,20,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the United States receive the most total medals or tie in the 2017 International Association of Athletics World Championships?,21,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will an African nation receive the most total medals or tie in the 2017 International Association of Athletics World Championships?,22,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a European nation receive the most total medals or tie in the 2017 International Association of Athletics World Championships?,23,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a South American nation receive the most total medals or tie in the 2017 International Association of Athletics World Championships?,24,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will an Asian nation receive the most total medals or tie in the 2017 International Association of Athletics World Championships?,25,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Usain Bolt of Jamacia win the gold medal the 100 meter dash in the 2017 International Association of Athletics World Championships?,26,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Usain Bolt of Jamacia win the gold medal the 200 meter dash in the 2017 International Association of Athletics World Championships?,27,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Justin Gatlain of the United States finish ahead of Usain Bolt in any of the medal awarding races in which they are both participating in the 2017 International Association of Athletics World Championships?,28,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the number of gun-related murders in Chicago during the month of March 2017 be higher than the 45 gun-related murders in March of 2016?,29,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a terrorist attack killing 100 Americans take place on American soil in the next 25 days?,30,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a terrorist attack killing 10 Americans take place on American soil in the next 25 days?,31,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Illinois experience a level 5 earthquake in the next 25 days?,32,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the average temperature in Illinois in March 2017 be higher than the average temperature in March 2016 (47.3 degrees Farenheight)?,33,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will the University of Illinois baseball team win their April 4, 2017 game against the University of Missouri?",34,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will the University of Illinois softball team win their March 29, 2017 game against Illinois State University?",35,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will impeachment precedings against President Trump begin in the next 25 days?,36,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will President Trump visit the United Kingdom in the next 25 days?,37,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will President Trump hold a nationally televised press conference in the next 25 days?,38,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a Supreme Court Justice be appointed in the next 25 days?,39,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will any current Supreme Court Justice die or retire, creating a vacancy, in the next 25 days?",40,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will marijuana be legalized in the state of Illinois in the next 25 days?,41,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the University of Illinois at Urbana-Champaign permanently close in the next 25 days?,42,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the state of Illinois pass a state budget in the next 25 days?,43,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Vladimir Putin step down as President of the Russian Federation in the next 25 days?,44,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will the United Kingdom officially leave the European Union in the next 25 days?,45,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will North Korea invade South Korea in the next 25 days?,46,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will Roe v. Wade be repealed by the United States Supreme Court in the next 25 days?,47,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a woman be elected the Chief Executive of Hong Kong in the March 26th election?,48,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
Will a cure for cancer be announced in the next 25 days?,49,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will any current member of the United States Senate resign, retire, or die in the next 25 days?",50,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will any current member of the United States House of Representatives resign, retire, or die in the next 25 days?",51,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will any current member of the Illinois State Senate resign, retire, or die in the next 25 days?",52,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
"Will any current member of the Illinois State House of Representatives resign, retire, or die in the next 25 days?",53,TRUE,TRUE,single-select,"[""Yes"", ""No""]"
